environment,genotype,block,value,trait,trait_label
LN2023,Fm219,1,14.2234296798706,protein_pct,Seed protein concentration (%)
LN2023,Fm219,2,13.9485521316528,protein_pct,Seed protein concentration (%)
LN2023,Fm219,3,14.1657562255859,protein_pct,Seed protein concentration (%)
LN2023,Fm221,1,13.3909358978272,protein_pct,Seed protein concentration (%)
LN2023,Fm221,2,14.0378952026367,protein_pct,Seed protein concentration (%)
LN2023,Fm221,3,14.0501651763916,protein_pct,Seed protein concentration (%)
LN2023,Fm225,1,17.0132446289063,protein_pct,Seed protein concentration (%)
LN2023,Fm225,2,17.7491111755371,protein_pct,Seed protein concentration (%)
LN2023,Fm225,3,16.7540283203125,protein_pct,Seed protein concentration (%)
LN2023,Fm233,1,12.9814777374268,protein_pct,Seed protein concentration (%)
LN2023,Fm233,2,15.1672019958496,protein_pct,Seed protein concentration (%)
LN2023,Fm233,3,13.5015850067139,protein_pct,Seed protein concentration (%)
LN2023,Fm235,1,15.3531494140625,protein_pct,Seed protein concentration (%)
LN2023,Fm235,2,15.2297286987305,protein_pct,Seed protein concentration (%)
LN2023,Fm235,3,15.2732629776001,protein_pct,Seed protein concentration (%)
LN2023,Fm236,1,16.5149536132813,protein_pct,Seed protein concentration (%)
LN2023,Fm236,2,17.5811557769775,protein_pct,Seed protein concentration (%)
LN2023,Fm236,3,17.227746963501,protein_pct,Seed protein concentration (%)
LN2023,Fm238,1,18.4670639038086,protein_pct,Seed protein concentration (%)
LN2023,Fm238,2,20.4355735778809,protein_pct,Seed protein concentration (%)
LN2023,Fm238,3,17.5309829711914,protein_pct,Seed protein concentration (%)
LN2023,Fm250,1,17.7365531921387,protein_pct,Seed protein concentration (%)
LN2023,Fm250,2,16.1242179870605,protein_pct,Seed protein concentration (%)
LN2023,Fm250,3,15.6735811233521,protein_pct,Seed protein concentration (%)
LN2023,Fm255,1,15.5460443496704,protein_pct,Seed protein concentration (%)
LN2023,Fm255,2,15.8814611434937,protein_pct,Seed protein concentration (%)
LN2023,Fm255,3,17.2431774139404,protein_pct,Seed protein concentration (%)
LN2023,Fm321,1,17.2696552276611,protein_pct,Seed protein concentration (%)
LN2023,Fm321,2,19.3143825531006,protein_pct,Seed protein concentration (%)
LN2023,Fm321,3,21.8810405731201,protein_pct,Seed protein concentration (%)
LN2023,Fm322,1,14.9032096862793,protein_pct,Seed protein concentration (%)
LN2023,Fm322,2,15.2170543670654,protein_pct,Seed protein concentration (%)
LN2023,Fm322,3,15.9334096908569,protein_pct,Seed protein concentration (%)
LN2023,Fm324,1,15.4372301101685,protein_pct,Seed protein concentration (%)
LN2023,Fm324,2,14.3555774688721,protein_pct,Seed protein concentration (%)
LN2023,Fm324,3,12.9683361053467,protein_pct,Seed protein concentration (%)
LN2023,Fm325,1,13.3639354705811,protein_pct,Seed protein concentration (%)
LN2023,Fm325,2,12.2978429794312,protein_pct,Seed protein concentration (%)
LN2023,Fm325,3,13.658634185791,protein_pct,Seed protein concentration (%)
LN2023,Fm328,1,13.0342884063721,protein_pct,Seed protein concentration (%)
LN2023,Fm328,2,15.9175987243652,protein_pct,Seed protein concentration (%)
LN2023,Fm328,3,14.4548606872559,protein_pct,Seed protein concentration (%)
LN2023,Fm332,1,14.3361806869507,protein_pct,Seed protein concentration (%)
LN2023,Fm332,2,16.2035427093506,protein_pct,Seed protein concentration (%)
LN2023,Fm332,3,14.7275943756104,protein_pct,Seed protein concentration (%)
LN2023,Fm337,1,14.4120874404907,protein_pct,Seed protein concentration (%)
LN2023,Fm337,2,13.5123510360718,protein_pct,Seed protein concentration (%)
LN2023,Fm337,3,11.643946647644,protein_pct,Seed protein concentration (%)
LN2023,Fm341,1,16.1692752838135,protein_pct,Seed protein concentration (%)
LN2023,Fm341,2,15.1180858612061,protein_pct,Seed protein concentration (%)
LN2023,Fm341,3,13.9789218902588,protein_pct,Seed protein concentration (%)
LN2023,Fm343,1,14.0224342346191,protein_pct,Seed protein concentration (%)
LN2023,Fm343,2,13.7885684967041,protein_pct,Seed protein concentration (%)
LN2023,Fm343,3,13.4904947280884,protein_pct,Seed protein concentration (%)
LN2023,Fm344,1,20.1374835968018,protein_pct,Seed protein concentration (%)
LN2023,Fm344,2,16.3937072753906,protein_pct,Seed protein concentration (%)
LN2023,Fm344,3,12.9331140518189,protein_pct,Seed protein concentration (%)
LN2023,Fm347,1,9.03381252288818,protein_pct,Seed protein concentration (%)
LN2023,Fm347,2,9.39041042327881,protein_pct,Seed protein concentration (%)
LN2023,Fm347,3,13.1146450042725,protein_pct,Seed protein concentration (%)
LN2023,Fm349,1,10.7998952865601,protein_pct,Seed protein concentration (%)
LN2023,Fm349,2,11.9894351959229,protein_pct,Seed protein concentration (%)
LN2023,Fm349,3,14.7023601531982,protein_pct,Seed protein concentration (%)
LN2023,Fm351,1,14.579607963562,protein_pct,Seed protein concentration (%)
LN2023,Fm351,2,15.2013282775879,protein_pct,Seed protein concentration (%)
LN2023,Fm351,3,15.8358917236328,protein_pct,Seed protein concentration (%)
LN2023,Fm352,1,13.840368270874,protein_pct,Seed protein concentration (%)
LN2023,Fm352,2,16.6788749694824,protein_pct,Seed protein concentration (%)
LN2023,Fm352,3,14.7899303436279,protein_pct,Seed protein concentration (%)
LN2023,Fm354,1,10.8194103240967,protein_pct,Seed protein concentration (%)
LN2023,Fm354,2,12.1659269332886,protein_pct,Seed protein concentration (%)
LN2023,Fm354,3,11.1960000991821,protein_pct,Seed protein concentration (%)
LN2023,Fm355,1,13.2636833190918,protein_pct,Seed protein concentration (%)
LN2023,Fm355,2,13.251766204834,protein_pct,Seed protein concentration (%)
LN2023,Fm355,3,14.1882228851318,protein_pct,Seed protein concentration (%)
LN2023,Fm356,1,15.8690776824951,protein_pct,Seed protein concentration (%)
LN2023,Fm356,2,15.5542488098145,protein_pct,Seed protein concentration (%)
LN2023,Fm356,3,12.593786239624,protein_pct,Seed protein concentration (%)
LN2023,Fm357,1,15.8117504119873,protein_pct,Seed protein concentration (%)
LN2023,Fm357,2,16.1308994293213,protein_pct,Seed protein concentration (%)
LN2023,Fm357,3,15.1920318603516,protein_pct,Seed protein concentration (%)
LN2023,Fm358,1,16.5699596405029,protein_pct,Seed protein concentration (%)
LN2023,Fm358,2,16.7865238189697,protein_pct,Seed protein concentration (%)
LN2023,Fm358,3,14.5761804580689,protein_pct,Seed protein concentration (%)
LN2023,Fm359,1,14.5619211196899,protein_pct,Seed protein concentration (%)
LN2023,Fm359,2,17.1400814056397,protein_pct,Seed protein concentration (%)
LN2023,Fm359,3,15.678318977356,protein_pct,Seed protein concentration (%)
LN2023,Fm36,1,16.3146514892578,protein_pct,Seed protein concentration (%)
LN2023,Fm36,2,18.4248504638672,protein_pct,Seed protein concentration (%)
LN2023,Fm36,3,19.1637954711914,protein_pct,Seed protein concentration (%)
LN2023,Fm361,1,16.6568222045898,protein_pct,Seed protein concentration (%)
LN2023,Fm361,2,15.2910184860229,protein_pct,Seed protein concentration (%)
LN2023,Fm361,3,15.3998212814331,protein_pct,Seed protein concentration (%)
LN2023,Fm362,1,15.5658617019653,protein_pct,Seed protein concentration (%)
LN2023,Fm362,2,14.0818462371826,protein_pct,Seed protein concentration (%)
LN2023,Fm362,3,14.2149925231934,protein_pct,Seed protein concentration (%)
LN2023,Fm363,1,14.3604278564453,protein_pct,Seed protein concentration (%)
LN2023,Fm363,2,11.5909690856934,protein_pct,Seed protein concentration (%)
LN2023,Fm363,3,13.122127532959,protein_pct,Seed protein concentration (%)
LN2023,Fm364,1,14.1956253051758,protein_pct,Seed protein concentration (%)
LN2023,Fm364,2,16.0763645172119,protein_pct,Seed protein concentration (%)
LN2023,Fm364,3,12.319354057312,protein_pct,Seed protein concentration (%)
LN2023,Fm366,1,12.4806079864502,protein_pct,Seed protein concentration (%)
LN2023,Fm366,2,12.0140333175659,protein_pct,Seed protein concentration (%)
LN2023,Fm366,3,11.4080171585083,protein_pct,Seed protein concentration (%)
LN2023,Fm368,1,14.1728000640869,protein_pct,Seed protein concentration (%)
LN2023,Fm368,2,13.3650007247925,protein_pct,Seed protein concentration (%)
LN2023,Fm368,3,12.7708988189697,protein_pct,Seed protein concentration (%)
LN2023,Fm369,1,14.7902040481567,protein_pct,Seed protein concentration (%)
LN2023,Fm369,2,13.6633949279785,protein_pct,Seed protein concentration (%)
LN2023,Fm369,3,15.4869031906128,protein_pct,Seed protein concentration (%)
LN2023,Fm370,1,14.4982595443726,protein_pct,Seed protein concentration (%)
LN2023,Fm370,2,13.568021774292,protein_pct,Seed protein concentration (%)
LN2023,Fm370,3,15.8590641021729,protein_pct,Seed protein concentration (%)
LN2023,Fm375,1,15.8558502197266,protein_pct,Seed protein concentration (%)
LN2023,Fm375,2,15.0486631393433,protein_pct,Seed protein concentration (%)
LN2023,Fm375,3,15.1291923522949,protein_pct,Seed protein concentration (%)
LN2023,Fm376,1,17.0719165802002,protein_pct,Seed protein concentration (%)
LN2023,Fm376,2,15.6785402297974,protein_pct,Seed protein concentration (%)
LN2023,Fm376,3,15.9279632568359,protein_pct,Seed protein concentration (%)
LN2023,Fm377,1,15.1161727905273,protein_pct,Seed protein concentration (%)
LN2023,Fm377,2,13.5695352554321,protein_pct,Seed protein concentration (%)
LN2023,Fm377,3,15.6572389602661,protein_pct,Seed protein concentration (%)
LN2023,Fm379,1,16.5859699249268,protein_pct,Seed protein concentration (%)
LN2023,Fm379,2,15.6893701553345,protein_pct,Seed protein concentration (%)
LN2023,Fm379,3,14.7564430236816,protein_pct,Seed protein concentration (%)
LN2023,Fm380,1,14.7822513580322,protein_pct,Seed protein concentration (%)
LN2023,Fm380,2,15.3118190765381,protein_pct,Seed protein concentration (%)
LN2023,Fm380,3,13.8905372619629,protein_pct,Seed protein concentration (%)
LN2023,Fm381,1,14.5725440979004,protein_pct,Seed protein concentration (%)
LN2023,Fm381,2,15.3005065917969,protein_pct,Seed protein concentration (%)
LN2023,Fm381,3,13.1978693008423,protein_pct,Seed protein concentration (%)
LN2023,Fm383,1,17.0639667510986,protein_pct,Seed protein concentration (%)
LN2023,Fm383,2,14.9952812194824,protein_pct,Seed protein concentration (%)
LN2023,Fm383,3,16.4636821746826,protein_pct,Seed protein concentration (%)
LN2023,Fm384,1,15.0510807037354,protein_pct,Seed protein concentration (%)
LN2023,Fm384,2,14.5280208587647,protein_pct,Seed protein concentration (%)
LN2023,Fm384,3,15.5182180404663,protein_pct,Seed protein concentration (%)
LN2023,Fm387,1,13.627857208252,protein_pct,Seed protein concentration (%)
LN2023,Fm387,2,13.1988983154297,protein_pct,Seed protein concentration (%)
LN2023,Fm387,3,11.6854076385498,protein_pct,Seed protein concentration (%)
LN2023,Fm388,1,16.351001739502,protein_pct,Seed protein concentration (%)
LN2023,Fm388,2,14.5065860748291,protein_pct,Seed protein concentration (%)
LN2023,Fm388,3,15.4230089187622,protein_pct,Seed protein concentration (%)
LN2023,Fm389,1,13.4966135025024,protein_pct,Seed protein concentration (%)
LN2023,Fm389,2,15.1025266647339,protein_pct,Seed protein concentration (%)
LN2023,Fm389,3,13.5039539337158,protein_pct,Seed protein concentration (%)
LN2023,Fm391,1,12.8255996704102,protein_pct,Seed protein concentration (%)
LN2023,Fm391,2,13.7756299972534,protein_pct,Seed protein concentration (%)
LN2023,Fm391,3,13.6154737472534,protein_pct,Seed protein concentration (%)
LN2023,Fm392,1,15.9962863922119,protein_pct,Seed protein concentration (%)
LN2023,Fm392,2,13.4227752685547,protein_pct,Seed protein concentration (%)
LN2023,Fm392,3,15.611421585083,protein_pct,Seed protein concentration (%)
LN2023,Fm394,1,13.8489542007446,protein_pct,Seed protein concentration (%)
LN2023,Fm394,2,14.8955526351929,protein_pct,Seed protein concentration (%)
LN2023,Fm394,3,12.7573776245117,protein_pct,Seed protein concentration (%)
LN2023,Fm395,1,12.5688581466675,protein_pct,Seed protein concentration (%)
LN2023,Fm395,2,16.9168338775635,protein_pct,Seed protein concentration (%)
LN2023,Fm395,3,16.3291015625,protein_pct,Seed protein concentration (%)
LN2023,Fm396,1,19.227861404419,protein_pct,Seed protein concentration (%)
LN2023,Fm396,2,16.1921100616455,protein_pct,Seed protein concentration (%)
LN2023,Fm396,3,16.1369152069092,protein_pct,Seed protein concentration (%)
LN2023,Fm400,1,13.453595161438,protein_pct,Seed protein concentration (%)
LN2023,Fm400,2,15.401801109314,protein_pct,Seed protein concentration (%)
LN2023,Fm400,3,17.1017532348633,protein_pct,Seed protein concentration (%)
LN2023,Fm401,1,15.3218050003052,protein_pct,Seed protein concentration (%)
LN2023,Fm401,2,14.984748840332,protein_pct,Seed protein concentration (%)
LN2023,Fm401,3,14.470739364624,protein_pct,Seed protein concentration (%)
LN2023,Fm403,1,16.2543983459473,protein_pct,Seed protein concentration (%)
LN2023,Fm403,2,16.0464839935303,protein_pct,Seed protein concentration (%)
LN2023,Fm403,3,16.1037540435791,protein_pct,Seed protein concentration (%)
LN2023,Fm404,1,15.38365650177,protein_pct,Seed protein concentration (%)
LN2023,Fm404,2,14.0327053070068,protein_pct,Seed protein concentration (%)
LN2023,Fm404,3,13.5836172103882,protein_pct,Seed protein concentration (%)
LN2023,Fm405,1,17.046968460083,protein_pct,Seed protein concentration (%)
LN2023,Fm405,2,16.2442169189453,protein_pct,Seed protein concentration (%)
LN2023,Fm405,3,15.5626907348633,protein_pct,Seed protein concentration (%)
LN2023,Fm406,1,14.2339963912964,protein_pct,Seed protein concentration (%)
LN2023,Fm406,2,13.9897451400757,protein_pct,Seed protein concentration (%)
LN2023,Fm406,3,12.2254867553711,protein_pct,Seed protein concentration (%)
LN2023,Fm407,1,14.7222261428833,protein_pct,Seed protein concentration (%)
LN2023,Fm407,2,13.0094137191772,protein_pct,Seed protein concentration (%)
LN2023,Fm407,3,11.878755569458,protein_pct,Seed protein concentration (%)
LN2023,Fm409,1,14.1984853744507,protein_pct,Seed protein concentration (%)
LN2023,Fm409,2,15.7598781585693,protein_pct,Seed protein concentration (%)
LN2023,Fm409,3,17.3797416687012,protein_pct,Seed protein concentration (%)
LN2023,Fm41,1,17.0140132904053,protein_pct,Seed protein concentration (%)
LN2023,Fm41,2,17.3804531097412,protein_pct,Seed protein concentration (%)
LN2023,Fm41,3,15.7067403793335,protein_pct,Seed protein concentration (%)
LN2023,Fm410,1,14.9010944366455,protein_pct,Seed protein concentration (%)
LN2023,Fm410,2,16.0926456451416,protein_pct,Seed protein concentration (%)
LN2023,Fm410,3,18.6985473632812,protein_pct,Seed protein concentration (%)
LN2023,Fm411,1,14.3098545074463,protein_pct,Seed protein concentration (%)
LN2023,Fm411,2,14.7964191436768,protein_pct,Seed protein concentration (%)
LN2023,Fm411,3,12.2599992752075,protein_pct,Seed protein concentration (%)
LN2023,Fm413,1,14.2869081497192,protein_pct,Seed protein concentration (%)
LN2023,Fm413,2,14.6338834762573,protein_pct,Seed protein concentration (%)
LN2023,Fm413,3,17.0549564361572,protein_pct,Seed protein concentration (%)
LN2023,Fm415,1,18.8959083557129,protein_pct,Seed protein concentration (%)
LN2023,Fm415,2,17.6986980438232,protein_pct,Seed protein concentration (%)
LN2023,Fm415,3,17.4894294738769,protein_pct,Seed protein concentration (%)
LN2023,Fm416,1,17.4389324188232,protein_pct,Seed protein concentration (%)
LN2023,Fm416,2,15.4271783828735,protein_pct,Seed protein concentration (%)
LN2023,Fm416,3,14.4151802062988,protein_pct,Seed protein concentration (%)
LN2023,Fm417,1,18.3818111419678,protein_pct,Seed protein concentration (%)
LN2023,Fm417,2,18.5113468170166,protein_pct,Seed protein concentration (%)
LN2023,Fm417,3,20.2739295959473,protein_pct,Seed protein concentration (%)
LN2023,Fm418,1,14.7663087844849,protein_pct,Seed protein concentration (%)
LN2023,Fm418,2,16.8742141723633,protein_pct,Seed protein concentration (%)
LN2023,Fm418,3,15.5744342803955,protein_pct,Seed protein concentration (%)
LN2023,Fm419,1,12.8859300613403,protein_pct,Seed protein concentration (%)
LN2023,Fm419,2,14.3740978240967,protein_pct,Seed protein concentration (%)
LN2023,Fm419,3,14.1551885604858,protein_pct,Seed protein concentration (%)
LN2023,Fm420,1,12.6816005706787,protein_pct,Seed protein concentration (%)
LN2023,Fm420,2,11.1706581115723,protein_pct,Seed protein concentration (%)
LN2023,Fm420,3,13.5473337173462,protein_pct,Seed protein concentration (%)
LN2023,Fm421,1,15.0316123962402,protein_pct,Seed protein concentration (%)
LN2023,Fm421,2,14.8763551712036,protein_pct,Seed protein concentration (%)
LN2023,Fm421,3,12.9485502243042,protein_pct,Seed protein concentration (%)
LN2023,Fm429,1,15.7125339508057,protein_pct,Seed protein concentration (%)
LN2023,Fm429,2,18.3121643066406,protein_pct,Seed protein concentration (%)
LN2023,Fm429,3,14.2990379333496,protein_pct,Seed protein concentration (%)
LN2023,Fm44,1,21.0016231536865,protein_pct,Seed protein concentration (%)
LN2023,Fm44,2,19.4480667114258,protein_pct,Seed protein concentration (%)
LN2023,Fm44,3,16.9074649810791,protein_pct,Seed protein concentration (%)
LN2023,Fm442,1,14.4621315002441,protein_pct,Seed protein concentration (%)
LN2023,Fm442,2,14.2604560852051,protein_pct,Seed protein concentration (%)
LN2023,Fm442,3,16.2821483612061,protein_pct,Seed protein concentration (%)
LN2023,Fm443,1,12.6184892654419,protein_pct,Seed protein concentration (%)
LN2023,Fm443,2,13.6010513305664,protein_pct,Seed protein concentration (%)
LN2023,Fm443,3,13.9383058547974,protein_pct,Seed protein concentration (%)
LN2023,Fm446,1,12.0777101516724,protein_pct,Seed protein concentration (%)
LN2023,Fm446,2,14.2497453689575,protein_pct,Seed protein concentration (%)
LN2023,Fm446,3,14.2113075256348,protein_pct,Seed protein concentration (%)
LN2023,Fm461,1,15.3179750442505,protein_pct,Seed protein concentration (%)
LN2023,Fm461,2,13.9903593063355,protein_pct,Seed protein concentration (%)
LN2023,Fm461,3,14.3843650817871,protein_pct,Seed protein concentration (%)
LN2023,Fm474,1,16.5009517669678,protein_pct,Seed protein concentration (%)
LN2023,Fm474,2,19.4252758026123,protein_pct,Seed protein concentration (%)
LN2023,Fm474,3,13.3645963668823,protein_pct,Seed protein concentration (%)
LN2023,Fm475,1,13.9786195755005,protein_pct,Seed protein concentration (%)
LN2023,Fm475,2,13.6162071228027,protein_pct,Seed protein concentration (%)
LN2023,Fm475,3,13.3528385162354,protein_pct,Seed protein concentration (%)
LN2023,Fm476,1,14.8821439743042,protein_pct,Seed protein concentration (%)
LN2023,Fm476,2,13.2011413574219,protein_pct,Seed protein concentration (%)
LN2023,Fm476,3,13.2974548339844,protein_pct,Seed protein concentration (%)
LN2023,Fm477,1,11.8208770751953,protein_pct,Seed protein concentration (%)
LN2023,Fm477,2,13.3614511489868,protein_pct,Seed protein concentration (%)
LN2023,Fm477,3,11.3407363891602,protein_pct,Seed protein concentration (%)
LN2023,Fm480,1,12.3104209899902,protein_pct,Seed protein concentration (%)
LN2023,Fm480,2,12.9640235900879,protein_pct,Seed protein concentration (%)
LN2023,Fm480,3,13.5148706436157,protein_pct,Seed protein concentration (%)
LN2023,Fm482,1,12.7506141662598,protein_pct,Seed protein concentration (%)
LN2023,Fm482,2,13.4838180541992,protein_pct,Seed protein concentration (%)
LN2023,Fm482,3,13.5616092681885,protein_pct,Seed protein concentration (%)
LN2023,Fm484,1,14.3578109741211,protein_pct,Seed protein concentration (%)
LN2023,Fm484,2,14.2101240158081,protein_pct,Seed protein concentration (%)
LN2023,Fm484,3,13.0384979248047,protein_pct,Seed protein concentration (%)
LN2023,Fm489,1,10.8681182861328,protein_pct,Seed protein concentration (%)
LN2023,Fm489,2,14.6252946853638,protein_pct,Seed protein concentration (%)
LN2023,Fm489,3,13.7626914978027,protein_pct,Seed protein concentration (%)
LN2023,Fm492,1,13.1777658462524,protein_pct,Seed protein concentration (%)
LN2023,Fm492,2,16.6746311187744,protein_pct,Seed protein concentration (%)
LN2023,Fm492,3,11.0488433837891,protein_pct,Seed protein concentration (%)
LN2023,Fm518,1,12.8356142044067,protein_pct,Seed protein concentration (%)
LN2023,Fm518,2,13.0893812179565,protein_pct,Seed protein concentration (%)
LN2023,Fm518,3,8.64608097076416,protein_pct,Seed protein concentration (%)
LN2023,Fm519,1,14.0453863143921,protein_pct,Seed protein concentration (%)
LN2023,Fm519,2,13.4736585617065,protein_pct,Seed protein concentration (%)
LN2023,Fm519,3,12.3958539962769,protein_pct,Seed protein concentration (%)
LN2023,Fm523,1,15.5820760726929,protein_pct,Seed protein concentration (%)
LN2023,Fm523,2,15.5581283569336,protein_pct,Seed protein concentration (%)
LN2023,Fm523,3,14.6370620727539,protein_pct,Seed protein concentration (%)
LN2023,Fm524,1,15.7653999328613,protein_pct,Seed protein concentration (%)
LN2023,Fm524,2,16.515905380249,protein_pct,Seed protein concentration (%)
LN2023,Fm524,3,13.861590385437,protein_pct,Seed protein concentration (%)
LN2023,Fm537,1,16.1678695678711,protein_pct,Seed protein concentration (%)
LN2023,Fm537,2,15.6812171936035,protein_pct,Seed protein concentration (%)
LN2023,Fm537,3,17.1758880615234,protein_pct,Seed protein concentration (%)
LN2023,Fm560,1,14.4384746551514,protein_pct,Seed protein concentration (%)
LN2023,Fm560,2,15.7462310791016,protein_pct,Seed protein concentration (%)
LN2023,Fm560,3,18.4494495391846,protein_pct,Seed protein concentration (%)
LN2023,Fm566,1,17.4134311676025,protein_pct,Seed protein concentration (%)
LN2023,Fm566,2,18.0622863769531,protein_pct,Seed protein concentration (%)
LN2023,Fm566,3,16.8808479309082,protein_pct,Seed protein concentration (%)
LN2023,Fm569,1,17.3003921508789,protein_pct,Seed protein concentration (%)
LN2023,Fm569,2,14.4524383544922,protein_pct,Seed protein concentration (%)
LN2023,Fm569,3,15.063982963562,protein_pct,Seed protein concentration (%)
LN2023,Fm585,1,14.4705991744995,protein_pct,Seed protein concentration (%)
LN2023,Fm585,2,14.8302869796753,protein_pct,Seed protein concentration (%)
LN2023,Fm585,3,16.6495189666748,protein_pct,Seed protein concentration (%)
LN2023,Fm589,1,14.8012771606445,protein_pct,Seed protein concentration (%)
LN2023,Fm589,2,14.34840965271,protein_pct,Seed protein concentration (%)
LN2023,Fm589,3,12.8816738128662,protein_pct,Seed protein concentration (%)
LN2023,Fm590,1,15.3488788604736,protein_pct,Seed protein concentration (%)
LN2023,Fm590,2,16.3866767883301,protein_pct,Seed protein concentration (%)
LN2023,Fm590,3,17.2975597381592,protein_pct,Seed protein concentration (%)
LN2023,Fm592,1,19.0493755340576,protein_pct,Seed protein concentration (%)
LN2023,Fm592,2,19.2957019805908,protein_pct,Seed protein concentration (%)
LN2023,Fm592,3,18.28684425354,protein_pct,Seed protein concentration (%)
LN2023,Fm600,1,16.7032413482666,protein_pct,Seed protein concentration (%)
LN2023,Fm600,2,14.2710628509521,protein_pct,Seed protein concentration (%)
LN2023,Fm600,3,16.0722789764404,protein_pct,Seed protein concentration (%)
LN2023,Fm601,1,17.9176540374756,protein_pct,Seed protein concentration (%)
LN2023,Fm601,2,17.567590713501,protein_pct,Seed protein concentration (%)
LN2023,Fm601,3,13.9802770614624,protein_pct,Seed protein concentration (%)
LN2023,Fm603,1,13.9393615722656,protein_pct,Seed protein concentration (%)
LN2023,Fm603,2,18.3478450775146,protein_pct,Seed protein concentration (%)
LN2023,Fm603,3,16.3343410491943,protein_pct,Seed protein concentration (%)
LN2023,Fm610,1,19.3136730194092,protein_pct,Seed protein concentration (%)
LN2023,Fm610,2,21.9900856018066,protein_pct,Seed protein concentration (%)
LN2023,Fm610,3,18.1182994842529,protein_pct,Seed protein concentration (%)
LN2023,Fm611,1,18.2902526855469,protein_pct,Seed protein concentration (%)
LN2023,Fm611,2,19.1174411773682,protein_pct,Seed protein concentration (%)
LN2023,Fm611,3,19.7991905212402,protein_pct,Seed protein concentration (%)
LN2023,Fm612,1,17.183443069458,protein_pct,Seed protein concentration (%)
LN2023,Fm612,2,16.8481369018555,protein_pct,Seed protein concentration (%)
LN2023,Fm612,3,19.1766872406006,protein_pct,Seed protein concentration (%)
LN2023,Fm614,1,16.4938182830811,protein_pct,Seed protein concentration (%)
LN2023,Fm614,2,16.9176349639893,protein_pct,Seed protein concentration (%)
LN2023,Fm614,3,15.7833118438721,protein_pct,Seed protein concentration (%)
LN2023,Fm615,1,16.8206462860107,protein_pct,Seed protein concentration (%)
LN2023,Fm615,2,18.2072105407715,protein_pct,Seed protein concentration (%)
LN2023,Fm615,3,22.4558029174805,protein_pct,Seed protein concentration (%)
LN2023,Fm616,1,17.0694789886475,protein_pct,Seed protein concentration (%)
LN2023,Fm616,2,16.5793380737305,protein_pct,Seed protein concentration (%)
LN2023,Fm616,3,19.4703578948975,protein_pct,Seed protein concentration (%)
LN2023,Fm621,1,14.5829124450684,protein_pct,Seed protein concentration (%)
LN2023,Fm621,2,14.9798078536987,protein_pct,Seed protein concentration (%)
LN2023,Fm621,3,14.1294507980347,protein_pct,Seed protein concentration (%)
LN2023,Fm65,1,19.4806976318359,protein_pct,Seed protein concentration (%)
LN2023,Fm65,2,19.2478942871094,protein_pct,Seed protein concentration (%)
LN2023,Fm65,3,20.6461181640625,protein_pct,Seed protein concentration (%)
LN2023,Fm78,1,19.4410095214844,protein_pct,Seed protein concentration (%)
LN2023,Fm78,2,21.2603282928467,protein_pct,Seed protein concentration (%)
LN2023,Fm78,3,19.3054466247559,protein_pct,Seed protein concentration (%)
LN2023,Fm181,1,4.55310396409841,fat_pct,Seed fat concentration (%)
LN2023,Fm181,2,4.28199956256587,fat_pct,Seed fat concentration (%)
LN2023,Fm181,3,4.78044149062442,fat_pct,Seed fat concentration (%)
LN2023,Fm190,1,5.17056530214484,fat_pct,Seed fat concentration (%)
LN2023,Fm190,2,4.77460721452686,fat_pct,Seed fat concentration (%)
LN2023,Fm190,3,4.5175316631694,fat_pct,Seed fat concentration (%)
LN2023,Fm193,1,4.18440982227071,fat_pct,Seed fat concentration (%)
LN2023,Fm193,2,3.6687471456842,fat_pct,Seed fat concentration (%)
LN2023,Fm193,3,3.72609500308477,fat_pct,Seed fat concentration (%)
LN2023,Fm194,1,3.10664120107348,fat_pct,Seed fat concentration (%)
LN2023,Fm194,2,2.89095160490326,fat_pct,Seed fat concentration (%)
LN2023,Fm194,3,3.29371736408088,fat_pct,Seed fat concentration (%)
LN2023,Fm195,1,4.27504816955706,fat_pct,Seed fat concentration (%)
LN2023,Fm195,2,4.31737168781336,fat_pct,Seed fat concentration (%)
LN2023,Fm195,3,4.79434960567063,fat_pct,Seed fat concentration (%)
LN2023,Fm214,1,3.07249514157085,fat_pct,Seed fat concentration (%)
LN2023,Fm214,2,3.25909324368496,fat_pct,Seed fat concentration (%)
LN2023,Fm214,3,3.1518284874064,fat_pct,Seed fat concentration (%)
LN2023,Fm215,1,4.51984291533557,fat_pct,Seed fat concentration (%)
LN2023,Fm215,2,4.5141144141894,fat_pct,Seed fat concentration (%)
LN2023,Fm215,3,3.32399929994805,fat_pct,Seed fat concentration (%)
LN2023,Fm216,1,4.62864990206903,fat_pct,Seed fat concentration (%)
LN2023,Fm216,2,4.17071748007029,fat_pct,Seed fat concentration (%)
LN2023,Fm216,3,4.50214387803699,fat_pct,Seed fat concentration (%)
LN2023,Fm219,1,4.13575223780564,fat_pct,Seed fat concentration (%)
LN2023,Fm219,2,3.91203926474828,fat_pct,Seed fat concentration (%)
LN2023,Fm219,3,4.36494267014433,fat_pct,Seed fat concentration (%)
LN2023,Fm221,1,3.04810870363599,fat_pct,Seed fat concentration (%)
LN2023,Fm221,2,3.16684474958491,fat_pct,Seed fat concentration (%)
LN2023,Fm221,3,2.35743720791005,fat_pct,Seed fat concentration (%)
LN2023,Fm233,1,3.67745642597231,fat_pct,Seed fat concentration (%)
LN2023,Fm233,2,3.39371427193085,fat_pct,Seed fat concentration (%)
