gene_id,gene_symbol,product,scaffold,gene_start,gene_end,association_count,unique_lead_snps,datasets,traits,models,minimum_p,maf05_associations,lead_snps_inside_gene,minimum_distance_to_lead_bp,evidence_score
LOC101757522,LOC101757522,uncharacterized LOC101757522,SCAFFOLD_8,15181470,15182762,2,1,2024_N120,protein_pct,BLINK;FarmCPU,5.64939952791707e-13,0,0,78318,4
LOC101759655,LOC101759655,uncharacterized LOC101759655,SCAFFOLD_2,1191260,1193654,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,31985,4
LOC101760347,LOC101760347,"uncharacterized LOC101760347, transcript variant X2",SCAFFOLD_2,1196119,1198275,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,27364,4
LOC101763061,LOC101763061,putative disease resistance protein RGA1,SCAFFOLD_2,1200389,1201825,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,23814,4
LOC111256202,LOC111256202,uncharacterized LOC111256202,SCAFFOLD_2,1205672,1206952,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,18687,4
LOC111256273,LOC111256273,"",SCAFFOLD_2,1207122,1210255,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,15384,4
LOC105913703,LOC105913703,probable LRR receptor-like serine/threonine-protein kinase At3g47570,SCAFFOLD_2,1210383,1212387,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,13252,4
LOC111256307,LOC111256307,uncharacterized LOC111256307,SCAFFOLD_2,1214410,1217931,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,7708,4
LOC101763871,LOC101763871,E3 ubiquitin-protein ligase EL5-like,SCAFFOLD_2,1222896,1223411,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,2228,4
LOC111256226,LOC111256226,"",SCAFFOLD_2,1244940,1245823,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,19301,4
LOC101764271,LOC101764271,vesicle-associated protein 1-4-like,SCAFFOLD_2,1245936,1249088,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,20297,4
LOC105913876,LOC105913876,"",SCAFFOLD_2,1249243,1249610,1,1,2024_N40,days_to_harvest,FarmCPU,8.42468256112904e-13,1,0,23604,4
LOC101758370,LOC101758370,protein NETWORKED 1A,SCAFFOLD_9,22239487,22248569,1,1,2024_N40,dtf,FarmCPU,9.73514186968262e-13,1,0,6456,4
LOC101768953,LOC101768953,protein IQ-DOMAIN 14,SCAFFOLD_9,22249685,22252129,1,1,2024_N40,dtf,FarmCPU,9.73514186968262e-13,1,0,2896,4
LOC101762815,LOC101762815,DNA repair helicase XPD-like,SCAFFOLD_8,30020706,30021101,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,134638,4
LOC101756176,LOC101756176,"",SCAFFOLD_8,30025218,30028554,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,127185,4
LOC101763224,LOC101763224,probable F-box protein At4g22060,SCAFFOLD_8,30029064,30030374,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,125365,4
LOC101755783,LOC101755783,DNA-binding protein HEXBP,SCAFFOLD_8,30038206,30039545,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,116194,4
LOC101763631,LOC101763631,uncharacterized LOC101763631,SCAFFOLD_8,30060742,30061490,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,94249,4
LOC101754686,LOC101754686,"uncharacterized LOC101754686, transcript variant X1",SCAFFOLD_8,30084187,30096027,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,59712,4
LOC101764031,LOC101764031,zinc finger MYM-type protein 1-like,SCAFFOLD_8,30097079,30099886,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,55853,4
LOC101752950,LOC101752950,"protein ALWAYS EARLY 2, transcript variant X2",SCAFFOLD_8,30112396,30124971,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,30768,4
LOC101764842,LOC101764842,transcription factor IIIB 90 kDa subunit-like,SCAFFOLD_8,30139521,30153944,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,1795,4
LOC106804152,LOC106804152,uncharacterized LOC106804152,SCAFFOLD_2,14084902,14085303,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,144000,4
LOC101759120,LOC101759120,atherin,SCAFFOLD_2,14097407,14101019,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,128284,4
LOC101759527,LOC101759527,uncharacterized LOC101759527,SCAFFOLD_2,14101317,14102728,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,126575,4
LOC101759936,LOC101759936,"heterogeneous nuclear ribonucleoprotein Q, transcript variant X1",SCAFFOLD_2,14130162,14135162,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,94141,4
LOC101760618,LOC101760618,uncharacterized LOC101760618,SCAFFOLD_2,14157029,14162182,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,67121,4
LOC101761021,LOC101761021,tetratricopeptide repeat protein 27 homolog,SCAFFOLD_2,14175534,14195863,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,33440,4
LOC101756164,LOC101756164,uncharacterized LOC101756164,SCAFFOLD_2,14219228,14219572,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,9731,4
LOC101761417,LOC101761417,prolyl endopeptidase,SCAFFOLD_2,14234594,14242768,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,5291,4
TRNAP-CGG,TRNAP-CGG,"",SCAFFOLD_2,14244100,14244171,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,14797,4
TRNAP-CGG-2,TRNAP-CGG,"",SCAFFOLD_2,14244275,14244346,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,14972,4
LOC101761814,LOC101761814,"luc7-like protein 3, transcript variant X10",SCAFFOLD_2,14246218,14250046,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,16915,4
LOC101763316,LOC101763316,"phosphatidylinositol/phosphatidylcholine transfer protein SFH11, transcript variant X6",SCAFFOLD_2,14251809,14257445,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,22506,4
LOC101763983,LOC101763983,"uncharacterized LOC101763983, transcript variant X2",SCAFFOLD_2,14259150,14266120,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,29847,4
LOC101764660,LOC101764660,"uncharacterized LOC101764660, transcript variant X3",SCAFFOLD_2,14266367,14271830,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,37064,4
LOC101774053,LOC101774053,"L10-interacting MYB domain-containing protein, transcript variant X1",SCAFFOLD_4,9075879,9080800,1,1,2024_N120,protein_pct,FarmCPU,2.13872815235489e-12,1,0,4512,4
LOC101761527,LOC101761527,"pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X1",SCAFFOLD_1,38766621,38771429,1,1,2023,height_cm,BLINK,2.96505397234618e-12,1,0,5408,4
LOC101762209,LOC101762209,F-box protein FBX14,SCAFFOLD_1,38773009,38776447,1,1,2023,height_cm,BLINK,2.96505397234618e-12,1,0,11796,4
LOC101771282,LOC101771282,proline-rich protein HaeIII subfamily 1,SCAFFOLD_7,1004095,1007509,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,80510,4
LOC101771675,LOC101771675,probable glucuronosyltransferase Os04g0103100,SCAFFOLD_7,1016739,1020343,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,67676,4
LOC101772080,LOC101772080,eukaryotic translation initiation factor 3 subunit M,SCAFFOLD_7,1020801,1023729,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,64290,4
LOC101772488,LOC101772488,rhomboid-like protein 19,SCAFFOLD_7,1024461,1027710,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,60309,4
LOC101772891,LOC101772891,"glyoxylate/hydroxypyruvate reductase HPR3, transcript variant X2",SCAFFOLD_7,1040661,1043019,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,45000,4
LOC111257910,LOC111257910,L10-interacting MYB domain-containing protein-like,SCAFFOLD_7,1044673,1045878,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,42141,4
LOC111257911,LOC111257911,uncharacterized LOC111257911,SCAFFOLD_7,1049791,1052852,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,35167,4
LOC101761566,LOC101761566,BTB/POZ and MATH domain-containing protein 1,SCAFFOLD_7,1084643,1085266,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,2753,4
LOC101761973,LOC101761973,"uncharacterized LOC101761973, transcript variant X2",SCAFFOLD_7,1098965,1103075,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,10946,4
LOC101773719,LOC101773719,uncharacterized LOC101773719,SCAFFOLD_7,1114790,1118916,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,26771,4
LOC101774125,LOC101774125,zinc finger CCCH domain-containing protein 24,SCAFFOLD_7,1119488,1125647,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,31469,4
LOC101774528,LOC101774528,uncharacterized LOC101774528,SCAFFOLD_7,1131120,1134537,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,43101,4
LOC101775200,LOC101775200,uncharacterized LOC101775200,SCAFFOLD_7,1139819,1140540,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,51800,4
LOC101775601,LOC101775601,uncharacterized protein C594.04c,SCAFFOLD_7,1144677,1146189,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,56658,4
LOC101776007,LOC101776007,"uncharacterized LOC101776007, transcript variant X1",SCAFFOLD_7,1153354,1157921,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,65335,4
LOC101752639,LOC101752639,uncharacterized LOC101752639,SCAFFOLD_7,2162890,2166654,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,40147,4
LOC101753048,LOC101753048,"WEB family protein At3g51220, transcript variant X1",SCAFFOLD_7,2230779,2234112,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,23978,4
LOC101753734,LOC101753734,CTD small phosphatase-like protein 2,SCAFFOLD_7,2253104,2259726,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,46303,4
LOC101760538,LOC101760538,ARF guanine-nucleotide exchange factor GNOM,SCAFFOLD_9,38000379,38005575,1,1,2024_N40,protein_pct,FarmCPU,6.95498827353989e-12,1,0,10593,4
LOC101755503,LOC101755503,"plant UBX domain-containing protein 11, transcript variant X1",SCAFFOLD_8,14853878,14865843,1,1,2024_N120,protein_pct,BLINK,8.19991296371243e-12,1,0,63772,4
LOC101760245,LOC101760245,60S ribosomal protein L18a,SCAFFOLD_8,10294827,10296487,1,1,2023,pedicel_length_cm,BLINK,9.14433418319857e-12,1,0,4597,4
LOC101783109,LOC101783109,peroxidase P7,SCAFFOLD_4,28523438,28525066,1,1,2024_N120,protein_pct,BLINK,9.35525606060554e-12,1,0,43975,4
LOC101756936,LOC101756936,70 kDa peptidyl-prolyl isomerase,SCAFFOLD_1,23118187,23122463,1,1,2024_N40,dtf,FarmCPU,1.33708700338345e-11,1,0,8227,4
LOC101757091,LOC101757091,RING-H2 finger protein ATL75,SCAFFOLD_1,1465442,1466089,1,1,2024_N40,number_of_tillers,FarmCPU,1.38988354721443e-11,1,0,2256,4
LOC101781478,LOC101781478,"protein ABHD17C, transcript variant X2",SCAFFOLD_4,32558706,32563622,1,1,2024_N120,height_cm,FarmCPU,3.06129879734198e-11,1,0,686,4
LOC101781453,LOC101781453,protein NRT1/ PTR FAMILY 2.7,SCAFFOLD_3,26566158,26578892,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,239067,4
LOC101781856,LOC101781856,uncharacterized LOC101781856,SCAFFOLD_3,26595819,26598239,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,219720,4
LOC101782258,LOC101782258,uncharacterized LOC101782258,SCAFFOLD_3,26607929,26609383,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,208576,4
LOC101782665,LOC101782665,"ruBisCO large subunit-binding protein subunit alpha, chloroplastic",SCAFFOLD_3,26620061,26625050,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,192909,4
LOC101773228,LOC101773228,protein NRT1/ PTR FAMILY 5.1,SCAFFOLD_3,26649153,26650903,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,167056,4
LOC101783082,LOC101783082,"cell wall protein RBR3, transcript variant X2",SCAFFOLD_3,26655541,26656762,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,161197,4
LOC111256588,LOC111256588,"",SCAFFOLD_3,26672479,26674379,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,143580,4
LOC101783742,LOC101783742,"prosaposin, transcript variant X6",SCAFFOLD_3,26679729,26685419,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,132540,4
LOC101786556,LOC101786556,adenine/guanine permease AZG1,SCAFFOLD_3,26768178,26770357,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,47602,4
LOC101774849,LOC101774849,"NADP-dependent malic enzyme, chloroplastic, transcript variant X3",SCAFFOLD_3,26805879,26815599,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,2360,4
LOC101786950,LOC101786950,CBL-interacting protein kinase 18,SCAFFOLD_3,26830792,26835574,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,12833,4
LOC101753090,LOC101753090,"",SCAFFOLD_3,26859465,26860154,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,41506,4
LOC111256819,LOC111256819,uncharacterized LOC111256819,SCAFFOLD_3,26873868,26877141,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,55909,4
LOC101765535,LOC101765535,uncharacterized LOC101765535,SCAFFOLD_9,32033210,32034419,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,184735,4
LOC101765946,LOC101765946,"",SCAFFOLD_9,32041004,32043962,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,175192,4
LOC101766217,LOC101766217,"",SCAFFOLD_9,32044504,32046723,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,172431,4
LOC106804544,LOC106804544,"",SCAFFOLD_9,32047059,32047775,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,171379,4
LOC101766625,LOC101766625,proline-rich protein 4,SCAFFOLD_9,32054341,32056218,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,162936,4
LOC101767038,LOC101767038,proline-rich protein 4,SCAFFOLD_9,32084875,32086037,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,133117,4
LOC101767446,LOC101767446,proline-rich protein 4,SCAFFOLD_9,32101332,32102611,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,116543,4
LOC101767848,LOC101767848,proline-rich protein 4,SCAFFOLD_9,32108053,32109367,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,109787,4
LOC101768255,LOC101768255,uncharacterized LOC101768255,SCAFFOLD_9,32140690,32143105,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,76049,4
LOC101768660,LOC101768660,uncharacterized LOC101768660,SCAFFOLD_9,32146210,32147400,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,71754,4
LOC101769066,LOC101769066,uncharacterized LOC101769066,SCAFFOLD_9,32193865,32194775,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,24379,4
LOC101769472,LOC101769472,"uncharacterized LOC101769472, transcript variant X1",SCAFFOLD_9,32196321,32197559,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,21595,4
LOC101770275,LOC101770275,auxin transporter-like protein 3,SCAFFOLD_9,32200795,32205874,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,13280,4
LOC101770679,LOC101770679,thaumatin-like protein 1b,SCAFFOLD_9,32257956,32260076,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,38802,4
LOC101771079,LOC101771079,thaumatin-like protein 1b,SCAFFOLD_9,32359188,32361556,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,140034,4
LOC101771470,LOC101771470,uncharacterized LOC101771470,SCAFFOLD_9,32389943,32391631,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,170789,4
LOC101771863,LOC101771863,cytochrome P450 76M5,SCAFFOLD_9,32426850,32428481,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,207696,4
LOC101757340,LOC101757340,cytochrome P450 709B2,SCAFFOLD_1,33448347,33450533,1,1,2023,thousand_seed_weight_g,BLINK,4.62548432451453e-11,1,0,1761,4
LOC101760163,LOC101760163,"uncharacterized LOC101760163, transcript variant X2",SCAFFOLD_5,21985324,21989217,1,1,2023,dtf,FarmCPU,9.38262612233007e-11,1,0,72607,4
LOC101760568,LOC101760568,"nicotinamide adenine dinucleotide transporter 2, mitochondrial",SCAFFOLD_5,22015787,22024529,1,1,2023,dtf,FarmCPU,9.38262612233007e-11,1,0,37295,4
LOC101786371,LOC101786371,uncharacterized LOC101786371,SCAFFOLD_5,22110608,22115206,1,1,2023,dtf,FarmCPU,9.38262612233007e-11,1,0,48784,4
LOC101753000,LOC101753000,"",SCAFFOLD_4,19583268,19584466,1,1,2023,dtf,FarmCPU,9.52332922075218e-11,1,0,3576,4
LOC101776345,LOC101776345,protein ALTERED XYLOGLUCAN 4,SCAFFOLD_4,9289021,9290695,1,1,2024_N40,height_cm,BLINK,9.7413594508959e-11,1,0,4970,4
LOC101770406,LOC101770406,"protein UPSTREAM OF FLC, transcript variant X3",SCAFFOLD_9,8316127,8320925,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,121296,4
LOC101784727,LOC101784727,uncharacterized LOC101784727,SCAFFOLD_9,8321667,8322485,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,119736,4
LOC101771328,LOC101771328,UDP-glycosyltransferase 91D1,SCAFFOLD_9,8324777,8326476,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,115745,4
LOC101771723,LOC101771723,CLAVATA3/ESR (CLE)-related protein 25,SCAFFOLD_9,8330139,8331721,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,110500,4
LOC111255747,LOC111255747,"",SCAFFOLD_9,8331414,8332552,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,109669,4
LOC101772128,LOC101772128,beta-glucuronosyltransferase GlcAT14B,SCAFFOLD_9,8340348,8343328,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,98893,4
LOC101785119,LOC101785119,HIPL1 protein,SCAFFOLD_9,8345029,8350609,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,91612,4
LOC101772534,LOC101772534,uncharacterized protein At4g38062,SCAFFOLD_9,8357694,8361509,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,80712,4
LOC101772939,LOC101772939,"1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1, transcript variant X1",SCAFFOLD_9,8367075,8373673,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,68548,4
LOC101773638,LOC101773638,uncharacterized LOC101773638,SCAFFOLD_9,8407821,8408336,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,33885,4
LOC101774043,LOC101774043,costars family protein,SCAFFOLD_9,8416471,8419040,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,23181,4
LOC101774452,LOC101774452,tetratricopeptide repeat protein 38,SCAFFOLD_9,8423699,8428653,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,13568,4
LOC101774847,LOC101774847,polygalacturonate 4-alpha-galacturonosyltransferase-like,SCAFFOLD_9,8429594,8434818,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,7403,4
LOC111258419,LOC111258419,uncharacterized LOC111258419,SCAFFOLD_9,8444889,8448892,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,2668,4
LOC101775251,LOC101775251,uncharacterized LOC101775251,SCAFFOLD_9,8451772,8459979,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,9551,4
LOC101776335,LOC101776335,putative disease resistance RPP13-like protein 1,SCAFFOLD_9,8460441,8466547,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,18220,4
LOC101777828,LOC101777828,"putative disease resistance RPP13-like protein 1, transcript variant X1",SCAFFOLD_9,8481409,8488407,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,39188,4
LOC111255903,LOC111255903,"",SCAFFOLD_9,8508039,8509121,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,65818,4
LOC111258420,LOC111258420,putative disease resistance protein RGA3,SCAFFOLD_9,8509773,8510387,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,67552,4
LOC111258421,LOC111258421,uncharacterized LOC111258421,SCAFFOLD_9,8524096,8525300,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,81875,4
LOC101777150,LOC101777150,"putative disease resistance RPP13-like protein 1, transcript variant X3",SCAFFOLD_9,8525297,8540812,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,83076,4
LOC111255902,LOC111255902,"",SCAFFOLD_9,8540938,8547758,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,98717,4
LOC101778509,LOC101778509,plasma membrane ATPase 1,SCAFFOLD_9,8548207,8555362,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,105986,4
LOC101778915,LOC101778915,"inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase VIP2, transcript variant X2",SCAFFOLD_9,8559092,8576603,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,116871,4
LOC101779325,LOC101779325,embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein,SCAFFOLD_9,8582525,8589433,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,140304,4
LOC111255946,LOC111255946,uncharacterized LOC111255946,SCAFFOLD_9,8589993,8591388,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,147772,4
LOC101779715,LOC101779715,calcium-dependent protein kinase 9,SCAFFOLD_9,8599269,8603404,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,157048,4
LOC101780116,LOC101780116,"glycine, alanine and asparagine-rich protein",SCAFFOLD_9,8605264,8610351,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,163043,4
LOC101752586,LOC101752586,cell division control protein 2 homolog 3,SCAFFOLD_9,8612005,8612472,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,169784,4
LOC101781060,LOC101781060,formin-like protein 14,SCAFFOLD_9,8615838,8620659,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,173617,4
LOC101780516,LOC101780516,"uncharacterized LOC101780516, transcript variant X3",SCAFFOLD_9,8620979,8623953,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,178758,4
LOC101764451,LOC101764451,cytochrome P450 89A2,SCAFFOLD_9,13656216,13658375,1,1,2024_N120,dtf,BLINK,4.07854522353028e-10,1,0,11456,4
LOC101755103,LOC101755103,probable WRKY transcription factor 56,SCAFFOLD_3,12588477,12589583,1,1,2024_N120,protein_pct,BLINK,4.42935471781509e-10,1,0,1833,4
LOC101759939,LOC101759939,"uncharacterized LOC101759939, transcript variant X1",SCAFFOLD_2,23093439,23100825,1,1,2023,dtf,FarmCPU,5.39319018122598e-10,1,0,2824,4
LOC101755538,LOC101755538,ankyrin repeat-containing protein NPR4,SCAFFOLD_4,22442531,22446657,1,1,2024_N120,number_of_tillers,BLINK,6.33251257556116e-10,1,0,85488,4
LOC101756095,LOC101756095,"ABC transporter G family member 25, transcript variant X1",SCAFFOLD_9,18591424,18601641,1,1,2024_N120,days_to_harvest,FarmCPU,6.7843992501043e-10,1,0,6233,4
LOC101769915,LOC101769915,"tRNA pseudouridine synthase A 1, transcript variant X1",SCAFFOLD_1,21712242,21719935,1,1,2024_N120,height_cm,FarmCPU,7.47934117675004e-10,1,0,5044,4
LOC101761749,LOC101761749,"aldehyde dehydrogenase family 2 member B7, mitochondrial",SCAFFOLD_4,12210492,12216417,1,1,2024_N40,dtf,BLINK,7.66923554209484e-10,1,0,6742,4
LOC101769328,LOC101769328,uncharacterized LOC101769328,SCAFFOLD_3,34133868,34135397,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,45575,4
LOC105914083,LOC105914083,"",SCAFFOLD_3,34135397,34137699,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,43273,4
LOC105914090,LOC105914090,cell number regulator 6-like,SCAFFOLD_3,34140163,34140973,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,39999,4
LOC101768103,LOC101768103,sulfite oxidase,SCAFFOLD_3,34160651,34163895,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,17077,4
LOC101768505,LOC101768505,uncharacterized LOC101768505,SCAFFOLD_3,34190166,34195216,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,9194,4
LOC101768903,LOC101768903,cytochrome P450 94B3,SCAFFOLD_3,34210441,34212279,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,29469,4
LOC101769315,LOC101769315,"proline--tRNA ligase, cytoplasmic",SCAFFOLD_3,34217542,34225716,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,36570,4
LOC101770140,LOC101770140,wall-associated receptor kinase 4,SCAFFOLD_3,34238077,34242291,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,57105,4
LOC101769719,LOC101769719,"wall-associated receptor kinase 2, transcript variant X2",SCAFFOLD_3,34264025,34268020,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,83053,4
LOC101770520,LOC101770520,"ATPase family AAA domain-containing protein FIGL1, transcript variant X4",SCAFFOLD_3,34275864,34283619,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,94892,4
LOC101770127,LOC101770127,disease resistance protein RGA2,SCAFFOLD_3,34290621,34292374,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,109649,4
LOC101770930,LOC101770930,"uncharacterized LOC101770930, transcript variant X2",SCAFFOLD_3,34292631,34296478,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,111659,4
LOC111256625,LOC111256625,"",SCAFFOLD_3,34303567,34304472,1,1,2024_N120,height_cm,FarmCPU,9.80814871945326e-10,1,0,122595,4
