t2t_gene_id,symbol,description,lift_t2t_chr,t2t_gene_start,t2t_gene_end,association_count,unique_lead_snps,datasets,traits,models,minimum_p,maf05_associations,lead_snps_inside_gene,minimum_distance_to_lead_bp,evidence_score
Seita.8G312300,--,-,Chr8,32903685,32904913,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,79266,4
Seita.8G159800,dnaJ1,XP_004979549.1 uncharacterized protein LOC101754686 [Setaria italica],Chr8,32912763,32924780,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,59399,4
Seita.8G159900,--,RCV38650.1 hypothetical protein SETIT_8G159900v2 [Setaria italica],Chr8,32929075,32930239,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,53940,4
Seita.8G312400,--,-,Chr8,32938447,32939391,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,44788,4
Seita.8G160000,ALY3,XP_012703938.1 protein ALWAYS EARLY 2 isoform X1 [Setaria italica],Chr8,32940893,32953492,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,30687,4
Seita.8G312500,BRF1,XP_012703677.1 LOW QUALITY PROTEIN: transcription factor IIIB 90 kDa subunit-like [Setaria italica],Chr8,32970789,32972896,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,0,11283,4
Seita.2G124200,--,XP_004956120.1 atherin [Setaria italica],Chr2,15554001,15557903,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,127231,4
Seita.2G124300,--,XP_004956121.1 uncharacterized protein LOC101759527 [Setaria italica],Chr2,15557945,15559453,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,125681,4
Seita.2G470100,--,XP_034593681.1 uncharacterized protein LOC117855436 isoform X2 [Setaria viridis],Chr2,15566153,15567842,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,117292,4
Seita.2G124400,HNRNPDL,XP_004956123.1 heterogeneous nuclear ribonucleoprotein Q isoform X2 [Setaria italica],Chr2,15586886,15591915,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,93219,4
Seita.2G124500,--,RCV10615.1 hypothetical protein SETIT_2G124500v2 [Setaria italica],Chr2,15595028,15596553,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,88581,4
Seita.2G470200,--,RLM64290.1 uncharacterized protein C2845_PM16G00320 [Panicum miliaceum],Chr2,15604762,15605896,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,79238,4
Seita.2G124600,--,XP_004956124.1 uncharacterized protein LOC101760618 [Setaria italica],Chr2,15613748,15618996,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,66138,4
Seita.2G124700,trd-1,XP_004956125.1 tetratricopeptide repeat protein 27 homolog [Setaria italica],Chr2,15631587,15652684,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,32450,4
Seita.2G124800,--,RCV10621.1 hypothetical protein SETIT_2G124800v2 [Setaria italica],Chr2,15688504,15689383,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,3370,4
Seita.2G124900,Prep,RCV10622.1 hypothetical protein SETIT_2G124900v2 [Setaria italica],Chr2,15690416,15698680,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,5282,4
Seita.2G125000,LUC7L3,XP_004956127.1 luc7-like protein 3 [Setaria italica],Chr2,15701221,15705863,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,16087,4
Seita.2G125100,SFH11,XP_004956130.1 phosphatidylinositol/phosphatidylcholine transfer protein SFH11 isoform X1 [Setaria italica],Chr2,15707549,15713384,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,22415,4
Seita.2G125200,XYN2,XP_004956132.1 uncharacterized protein LOC101763983 isoform X1 [Setaria italica],Chr2,15714887,15721957,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,29753,4
Seita.2G125300,--,XP_004956134.1 uncharacterized protein LOC101764660 isoform X2 [Setaria italica],Chr2,15722034,15728133,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,0,36900,4
Seita.4G102300,--,XP_014660473.1 L10-interacting MYB domain-containing protein isoform X2 [Setaria italica],Chr4,9066825,9070350,1,1,2024_N120,protein_pct,FarmCPU,2.13872815235489e-12,1,0,2834,4
Seita.1G327400,At1g73400,"XP_004953986.1 pentatricopeptide repeat-containing protein At1g73400, mitochondrial [Setaria italica]",Chr1,41339979,41345123,1,1,2023,height_cm,BLINK,2.96505397234618e-12,1,0,5378,4
Seita.1G327500,At5g49980,XP_022683383.1 F-box protein FBX14 [Setaria italica],Chr1,41346036,41350129,1,1,2023,height_cm,BLINK,2.96505397234618e-12,1,0,11435,4
Seita.1G467400,--,-,Chr1,41351966,41352355,1,1,2023,height_cm,BLINK,2.96505397234618e-12,1,0,17365,4
Seita.7G005200,--,XP_004974969.1 proline-rich protein HaeIII subfamily 1 [Setaria italica],Chr7,913737,917692,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,79734,4
Seita.7G005300,GT43H,XP_004974970.1 probable glucuronosyltransferase Os04g0103100 [Setaria italica],Chr7,926416,930174,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,67252,4
Seita.7G005400,eif3m,TKW02883.1 hypothetical protein SEVIR_7G033500v2 [Setaria viridis],Chr7,930462,933420,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,64006,4
Seita.7G005500,RBL19,XP_004974972.1 rhomboid-like protein 19 [Setaria italica],Chr7,934089,937437,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,59989,4
Seita.7G005600,HPR3,XP_004974973.1 glyoxylate/hydroxypyruvate reductase HPR3 [Setaria italica],Chr7,948818,952695,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,44731,4
Seita.7G054400,--,TKW07011.1 hypothetical protein SEVIR_7G279350v2 [Setaria viridis],Chr7,963445,963678,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,33748,4
Seita.7G056000,--,XP_012702811.1 uncharacterized protein LOC105914714 [Setaria italica],Chr7,963882,970874,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,26552,4
Seita.7G057800,--,TKW07011.1 hypothetical protein SEVIR_7G279350v2 [Setaria viridis],Chr7,971625,971858,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,25568,4
Seita.7G005700,BPM1,XP_022683994.1 BTB/POZ and MATH domain-containing protein 1 [Setaria italica],Chr7,994050,994673,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,2753,4
Seita.7G005800,At1g63360,XP_022683719.1 uncharacterized protein LOC101761973 [Setaria italica],Chr7,1008366,1012510,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,10940,4
Seita.7G005900,--,RCV32478.1 hypothetical protein SETIT_7G005900v2 [Setaria italica],Chr7,1012533,1022458,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,15107,4
Seita.7G070200,--,XP_022683995.1 uncharacterized protein LOC101773719 [Setaria italica],Chr7,1024398,1026151,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,26972,4
Seita.7G006000,NHX2,RCV32479.1 hypothetical protein SETIT_7G006000v2 [Setaria italica],Chr7,1026942,1028481,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,29516,4
Seita.7G006100,At2g28450,XP_004974975.1 zinc finger CCCH domain-containing protein 24 [Setaria italica],Chr7,1028605,1035272,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,31179,4
Seita.7G006200,--,XP_004974976.1 uncharacterized protein LOC101774528 [Setaria italica],Chr7,1040454,1043918,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,43028,4
Seita.7G006300,--,XP_004974978.1 uncharacterized protein LOC101775200 [Setaria italica],Chr7,1049186,1049929,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,51760,4
Seita.7G006400,--,XP_004974979.1 uncharacterized protein C594.04c [Setaria italica],Chr7,1054032,1055559,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,56606,4
Seita.7G070500,--,-,Chr7,1057683,1061493,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,60257,4
Seita.7G006500,--,XP_004974980.1 uncharacterized protein LOC101776007 [Setaria italica],Chr7,1062721,1067300,1,1,2024_N40,dtf,FarmCPU,5.66232947783281e-12,1,0,65295,4
Seita.7G012600,--,XP_012702667.1 uncharacterized protein LOC101752639 [Setaria italica],Chr7,2083653,2087431,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,40133,4
Seita.7G115800,--,-,Chr7,2091800,2095001,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,32563,4
Seita.7G012700,--,RCV32559.1 hypothetical protein SETIT_7G012700v2 [Setaria italica],Chr7,2105298,2106058,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,21506,4
Seita.7G012800,--,RCV32560.1 hypothetical protein SETIT_7G012800v2 [Setaria italica],Chr7,2142610,2143552,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,15046,4
Seita.7G012900,--,RCV32561.1 hypothetical protein SETIT_7G012900v2 [Setaria italica],Chr7,2149014,2149775,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,21450,4
Seita.7G013000,--,XP_004975008.1 WEB family protein At1g75720 isoform X1 [Setaria italica],Chr7,2149883,2154836,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,22319,4
Seita.7G013100,CTDSPL2,XP_004975010.1 CTD small phosphatase-like protein 2 [Setaria italica],Chr7,2173489,2180641,1,1,2024_N40,days_to_harvest,FarmCPU,5.71306278393246e-12,1,0,45925,4
Seita.9G654800,--,XP_034593959.1 serine/threonine-protein kinase PBL27-like [Setaria viridis],Chr9,40664406,40664969,1,1,2024_N40,protein_pct,FarmCPU,6.95498827353989e-12,1,0,9621,4
Seita.8G106800,--,RCV37997.1 hypothetical protein SETIT_8G106800v2 [Setaria italica],Chr8,15582576,15583702,1,1,2024_N120,protein_pct,BLINK,8.19991296371243e-12,1,0,50539,4
Seita.8G106900,PUX11,XP_034568949.1 plant UBX domain-containing protein 11 isoform X1 [Setaria viridis],Chr8,15595888,15607891,1,1,2024_N120,protein_pct,BLINK,8.19991296371243e-12,1,0,63851,4
Seita.8G283600,--,XP_034603311.1 uncharacterized protein LOC117863624 [Setaria viridis],Chr8,15709968,15710531,1,1,2024_N120,protein_pct,BLINK,8.19991296371243e-12,1,0,177931,4
Seita.8G283700,--,-,Chr8,15777398,15781126,1,1,2024_N120,protein_pct,BLINK,8.19991296371243e-12,1,0,245361,4
Seita.8G085600,RPL18A,XP_004979031.1 60S ribosomal protein L18a [Setaria italica],Chr8,11011235,11012909,1,1,2023,pedicel_length_cm,BLINK,9.14433418319857e-12,1,0,4570,4
Seita.8G085700,--,RCV37724.1 hypothetical protein SETIT_8G085700v2 [Setaria italica],Chr8,11015387,11015845,1,1,2023,pedicel_length_cm,BLINK,9.14433418319857e-12,1,0,1634,4
Seita.8G085800,NFYC2,RCV37725.1 hypothetical protein SETIT_8G085800v2 [Setaria italica],Chr8,11020680,11021434,1,1,2023,pedicel_length_cm,BLINK,9.14433418319857e-12,1,0,3201,4
Seita.8G275300,--,-,Chr8,11023175,11024664,1,1,2023,pedicel_length_cm,BLINK,9.14433418319857e-12,1,0,5696,4
Seita.8G085900,--,RCV37726.1 hypothetical protein SETIT_8G085900v2 [Setaria italica],Chr8,11029830,11032397,1,1,2023,pedicel_length_cm,BLINK,9.14433418319857e-12,1,0,12351,4
Seita.4G351600,PER52,XP_034588928.1 peroxidase P7-like [Setaria viridis],Chr4,29263925,29265458,1,1,2024_N120,protein_pct,BLINK,9.35525606060554e-12,1,0,17866,4
Seita.1G162500,FKBP65,RCV06442.1 hypothetical protein SETIT_1G162500v2 [Setaria italica],Chr1,25596266,25600659,1,1,2024_N40,dtf,FarmCPU,1.33708700338345e-11,1,0,7887,4
Seita.1G017100,ATL58,XP_004954585.1 RING-H2 finger protein ATL75 [Setaria italica],Chr1,1471466,1472372,1,1,2024_N40,number_of_tillers,FarmCPU,1.38988354721443e-11,1,0,2167,4
Seita.4G207900,--,RCV22276.1 hypothetical protein SETIT_4G207900v2 [Setaria italica],Chr4,33348562,33349385,1,1,2024_N120,height_cm,FarmCPU,3.06129879734198e-11,1,0,2978,4
Seita.3G283600,NPF2.3,RCV18233.1 hypothetical protein SETIT_3G283600v2 [Setaria italica],Chr3,27183874,27184526,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,236810,4
Seita.3G283700,--,XP_004962427.1 uncharacterized protein LOC101781856 [Setaria italica],Chr3,27201420,27203841,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,217495,4
Seita.3G283800,--,XP_004962428.1 uncharacterized protein LOC101782258 [Setaria italica],Chr3,27213537,27215433,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,205903,4
Seita.3G283900,CPN60A1,"XP_004962429.1 ruBisCO large subunit-binding protein subunit alpha, chloroplastic [Setaria italica]",Chr3,27225618,27230655,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,190681,4
Seita.3G474800,--,TKW01387.1 hypothetical protein SEVIR_8G176800v2 [Setaria viridis],Chr3,27246838,27250440,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,170896,4
Seita.3G474900,--,TKW27955.1 hypothetical protein SEVIR_3G292200v2 [Setaria viridis],Chr3,27247985,27248717,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,172619,4
Seita.3G284000,NPF5.1,RCV18238.1 hypothetical protein SETIT_3G284000v2 [Setaria italica],Chr3,27251072,27256268,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,165068,4
Seita.3G284100,--,XP_004962431.1 cell wall protein RBR3 isoform X2 [Setaria italica],Chr3,27261041,27262340,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,158996,4
Seita.3G284200,--,RCV18240.1 hypothetical protein SETIT_3G284200v2 [Setaria italica],Chr3,27266635,27266809,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,154527,4
Seita.3G284300,--,RCV18241.1 hypothetical protein SETIT_3G284300v2 [Setaria italica],Chr3,27278050,27280622,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,140714,4
Seita.3G284400,--,XP_004962432.1 prosaposin isoform X1 [Setaria italica],Chr3,27285295,27291098,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,130238,4
Seita.3G284700,AZG1,XP_004962437.1 adenine/guanine permease AZG1 [Setaria italica],Chr3,27371590,27373746,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,47590,4
Seita.3G284800,ME6,RCV18248.1 hypothetical protein SETIT_3G284800v2 [Setaria italica],Chr3,27409500,27411627,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,9709,4
Seita.3G284900,--,RCV18249.1 hypothetical protein SETIT_3G284900v2 [Setaria italica],Chr3,27412281,27412827,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,8509,4
Seita.3G285000,CIPK18,XP_004962438.1 CBL-interacting protein kinase 18 [Setaria italica],Chr3,27434046,27438951,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,12710,4
Seita.3G475200,--,RLM54275.1 hypothetical protein C2845_PM10G21810 [Panicum miliaceum],Chr3,27461690,27462587,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,40354,4
Seita.3G285100,--,RCV18252.1 hypothetical protein SETIT_3G285100v2 [Setaria italica],Chr3,27467974,27468524,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,46638,4
Seita.3G285200,--,RCV18253.1 hypothetical protein SETIT_3G285200v2 [Setaria italica],Chr3,27475712,27476430,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,54376,4
Seita.3G285300,--,XP_022681246.1 uncharacterized protein LOC111256819 [Setaria italica],Chr3,27476899,27482883,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,55563,4
Seita.3G475300,--,"KAG0517101.1 hypothetical protein BDA96_09G059500, partial [Sorghum bicolor]",Chr3,27484790,27488152,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,63454,4
Seita.3G285400,--,RCV18255.1 hypothetical protein SETIT_3G285400v2 [Setaria italica],Chr3,27489393,27490759,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,68057,4
Seita.3G285500,--,RCV18256.1 hypothetical protein SETIT_3G285500v2 [Setaria italica],Chr3,27492807,27493517,1,1,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,1,0,71471,4
Seita.9G287100,--,XP_004983381.1 uncharacterized protein LOC101765535 [Setaria italica],Chr9,34639131,34640361,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,186802,4
Seita.9G639400,--,-,Chr9,34646963,34648723,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,178440,4
Seita.9G287200,At5g22620,RCV43348.1 hypothetical protein SETIT_9G287200v2 [Setaria italica],Chr9,34650514,34650821,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,176342,4
Seita.9G287300,PRP4,XP_004983383.1 proline-rich protein 4 [Setaria italica],Chr9,34660262,34662147,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,165016,4
Seita.9G287400,PRP4,XP_004983384.1 proline-rich protein 4 [Setaria italica],Chr9,34692883,34694087,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,133076,4
Seita.9G287500,--,XP_034576458.1 proline-rich protein 4-like [Setaria viridis],Chr9,34708912,34710723,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,116440,4
Seita.9G287600,PRP4,XP_004983386.1 proline-rich protein 4 [Setaria italica],Chr9,34716082,34717429,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,109734,4
Seita.9G287700,--,XP_004983387.1 uncharacterized protein LOC101768255 [Setaria italica],Chr9,34748658,34751378,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,75785,4
Seita.9G287800,--,XP_004983388.1 uncharacterized protein LOC101768660 [Setaria italica],Chr9,34754122,34755417,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,71746,4
Seita.9G639500,--,-,Chr9,34755880,34756176,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,70987,4
Seita.9G639600,--,-,Chr9,34756260,34756744,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,70419,4
Seita.9G287900,--,RCV43355.1 hypothetical protein SETIT_9G287900v2 [Setaria italica],Chr9,34778112,34780729,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,46434,4
Seita.9G639700,--,RCV37854.1 hypothetical protein SETIT_8G095600v2 [Setaria italica],Chr9,34782724,34783464,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,43699,4
Seita.9G639800,--,TKW14536.1 hypothetical protein SEVIR_5G175200v2 [Setaria viridis],Chr9,34789082,34792046,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,35117,4
Seita.9G639900,--,XP_034586819.1 putative disease resistance protein At3g14460 [Setaria viridis],Chr9,34792789,34793463,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,33700,4
Seita.9G288000,--,XP_004983389.1 uncharacterized protein LOC101769066 [Setaria italica],Chr9,34801811,34802777,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,24386,4
Seita.9G288100,--,RCV43357.1 hypothetical protein SETIT_9G288100v2 [Setaria italica],Chr9,34804899,34805504,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,21659,4
Seita.9G288200,Os10g0147400,XP_004983392.1 auxin transporter-like protein 3 [Setaria italica],Chr9,34808693,34813931,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,13232,4
Seita.9G288300,--,RCV43359.1 hypothetical protein SETIT_9G288300v2 [Setaria italica],Chr9,34827702,34828587,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,539,4
Seita.9G640000,--,TKV94445.1 hypothetical protein SEVIR_9G295100v2 [Setaria viridis],Chr9,34846691,34847196,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,19528,4
Seita.9G640100,--,XP_034583011.1 uncharacterized protein LOC117846021 [Setaria viridis],Chr9,34853974,34855248,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,26811,4
Seita.9G288400,TLP1,XP_004983393.1 thaumatin-like protein 1b [Setaria italica],Chr9,34864812,34866919,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,37649,4
Seita.9G640200,MKK7,RCV26135.1 hypothetical protein SETIT_5G221100v2 [Setaria italica],Chr9,34919579,34921235,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,92416,4
Seita.9G288500,TLP1,XP_004983394.1 thaumatin-like protein 1b [Setaria italica],Chr9,34972241,34974597,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,145078,4
Seita.9G640300,--,TKV92550.1 LOW QUALITY PROTEIN: hypothetical protein SEVIR_9G168700v2 [Setaria viridis],Chr9,34978892,34980179,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,151729,4
Seita.9G640400,--,-,Chr9,34986803,34987246,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,159640,4
Seita.9G640500,MAIL3,XP_034577544.1 uncharacterized protein LOC117841082 [Setaria viridis],Chr9,34987828,34989672,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,160665,4
Seita.9G640600,--,-,Chr9,34990585,34991210,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,163422,4
Seita.9G640700,--,-,Chr9,34998539,34999150,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,171376,4
Seita.9G288600,--,RCV43362.1 hypothetical protein SETIT_9G288600v2 [Setaria italica],Chr9,35001761,35003452,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,174598,4
Seita.9G288700,CYP76M5,XP_004983396.1 cytochrome P450 76M5 [Setaria italica],Chr9,35038658,35040316,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,211495,4
Seita.9G640800,--,TKW20694.1 hypothetical protein SEVIR_4G106100v2 [Setaria viridis],Chr9,35041428,35043698,1,1,2024_N120,dtf,FarmCPU,3.92039816639039e-11,1,0,214265,4
Seita.1G260600,CYP709B2,XP_004953361.1 cytochrome P450 709B2 [Setaria italica],Chr1,36030930,36033213,1,1,2023,thousand_seed_weight_g,BLINK,4.62548432451453e-11,1,0,1740,4
Seita.5G179800,--,XP_012701996.1 uncharacterized protein LOC101760163 isoform X2 [Setaria italica],Chr5,24593049,24599170,1,1,2023,dtf,FarmCPU,9.38262612233007e-11,1,0,72786,4
Seita.5G507200,--,-,Chr5,24600127,24603760,1,1,2023,dtf,FarmCPU,9.38262612233007e-11,1,0,68196,4
Seita.5G179900,NDT2,"XP_004968826.1 nicotinamide adenine dinucleotide transporter 2, mitochondrial [Setaria italica]",Chr5,24625843,24634659,1,1,2023,dtf,FarmCPU,9.38262612233007e-11,1,0,37297,4
Seita.4G335000,--,TKW21397.1 hypothetical protein SEVIR_4G161501v2 [Setaria viridis],Chr4,19613903,19614770,1,1,2023,dtf,FarmCPU,9.52332922075218e-11,1,0,3760,4
Seita.4G103000,XGOAT1,XP_004965077.1 protein ALTERED XYLOGLUCAN 4 [Setaria italica],Chr4,9280975,9282660,1,1,2024_N40,height_cm,BLINK,9.7413594508959e-11,1,0,4962,4
Seita.9G132200,SOK3,RCV41390.1 hypothetical protein SETIT_9G132200v2 [Setaria italica],Chr9,8286722,8291714,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,121357,4
Seita.9G132300,--,XP_004986301.1 uncharacterized protein LOC101784727 [Setaria italica],Chr9,8292426,8293193,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,119878,4
Seita.9G132400,UGT91D1,XP_004982120.2 UDP-glycosyltransferase 91D1 [Setaria italica],Chr9,8295536,8297337,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,115734,4
Seita.9G587000,--,TVU45607.1 hypothetical protein EJB05_05098 [Eragrostis curvula],Chr9,8300884,8304598,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,108473,4
Seita.9G132500,--,XP_004982121.1 CLAVATA3/ESR (CLE)-related protein 25 [Setaria italica],Chr9,8300915,8303293,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,109778,4
Seita.9G132600,GLCAT14A,XP_004982122.1 beta-glucuronosyltransferase GlcAT14B [Setaria italica],Chr9,8309585,8314123,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,98948,4
Seita.9G587100,--,TKV91947.1 hypothetical protein SEVIR_9G131300v2 [Setaria viridis],Chr9,8309610,8310422,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,102649,4
Seita.9G587200,--,-,Chr9,8316000,8316368,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,96703,4
Seita.9G132700,HIPL1,RCV41396.1 hypothetical protein SETIT_9G132700v2 [Setaria italica],Chr9,8316999,8321573,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,91498,4
Seita.9G132800,--,RCV41397.1 hypothetical protein SETIT_9G132800v2 [Setaria italica],Chr9,8324043,8324982,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,88089,4
Seita.9G132900,--,RCV41398.1 hypothetical protein SETIT_9G132900v2 [Setaria italica],Chr9,8327214,8328293,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,84778,4
Seita.9G133000,At4g38062,XP_004982123.1 uncharacterized protein At4g38062 [Setaria italica],Chr9,8328603,8332564,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,80507,4
Seita.9G133200,DHNAT1,"XP_004982125.1 1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1 isoform X2 [Setaria italica]",Chr9,8337940,8344638,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,68433,4
Seita.9G133100,--,RCV41402.1 hypothetical protein SETIT_9G133100v2 [Setaria italica],Chr9,8339351,8340688,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,72383,4
Seita.9G587300,--,XP_034586383.1 L-type lectin-domain containing receptor kinase VIII.2-like [Setaria viridis],Chr9,8360912,8361559,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,51512,4
Seita.9G133300,--,RCV41405.1 hypothetical protein SETIT_9G133300v2 [Setaria italica],Chr9,8374544,8375498,1,1,2023,panicle_length_cm,BLINK,1.39303308110261e-10,1,0,37573,4
